node,gene,is_membrane,expression
0,MG_275,0,-1.7999999523162842
1,MG_091,0,-1.600000023841858
2,MG_318,1,1.899999976158142
3,MG_412,1,1.5
4,MG_092,0,-1.0
5,MG_394,0,-1.0
6,MG_185,0,1.899999976158142
7,MG_072,1,1.399999976158142
8,MG_300,0,-0.8999999761581421
9,MG_430,0,-1.2999999523162842
10,MG_112,0,-1.5
11,MG_216,0,-1.100000023841858
12,MG_407,0,1.600000023841858
13,MG_109,0,1.399999976158142
14,MG_298,1,1.0
15,MG_429,1,1.2999999523162842
16,MG_281,1,1.100000023841858
17,MG_357,0,-1.399999976158142
18,MG_089,0,-1.899999976158142
19,MG_367,0,0.8999999761581421
20,MG_067,1,1.7000000476837158
21,MG_274,0,-1.2000000476837158
22,MG_312,0,1.2000000476837158
23,MG_352,0,1.7000000476837158
24,MG_215,0,-1.600000023841858
25,MG_149,1,2.299999952316284
26,MG_187,0,1.100000023841858
27,MG_289,1,2.0999999046325684
28,MG_245,0,1.0
29,MG_125,1,0.800000011920929
30,MG_151,1,1.600000023841858
31,MG_398,0,-1.7000000476837158
32,MG_143,0,-1.7000000476837158
33,MG_423,0,1.2999999523162842
34,MG_217,1,0.699999988079071
35,MG_177,0,-1.7999999523162842
36,MG_517,1,1.2000000476837158
37,MG_090,0,-1.2999999523162842
38,MG_176,0,-1.5
39,MG_142,0,-1.399999976158142
40,MG_141,0,-1.100000023841858
41,MG_175,0,-1.2000000476837158
42,MG_033,0,1.5
